Date,Event
2021-01-08,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2021-01-12,"['EIA Short-Term Energy Outlook', 'JOLTs Job Openings', 'WASDE Report', '10-Year Note Auction']"
2021-01-13,"['CPI', 'Crude Oil Inventories', '30-Year Bond Auction']"
2021-01-14,"['OPEC Monthly Report', 'Continuing Jobless Claims']"
2021-01-15,"['PPI', 'Retail Sales', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-01-19,['IEA Monthly Report']
2021-01-20,['IEA Monthly Report']
2021-01-21,['Continuing Jobless Claims']
2021-01-22,"['Crude Oil Inventories', 'U.S. Baker Hughes Oil Rig Count']"
2021-01-27,"['Durable Goods Orders', 'Crude Oil Inventories', 'FOMC Statement']"
2021-01-28,"['Continuing Jobless Claims', 'Core PCE Prices']"
2021-01-29,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-02-01,['ISM Manufacturing PMI']
2021-02-03,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2021-02-04,['Continuing Jobless Claims']
2021-02-05,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2021-02-09,"['EIA Short-Term Energy Outlook', 'JOLTs Job Openings', 'WASDE Report']"
2021-02-10,"['CPI', 'Crude Oil Inventories', '10-Year Note Auction']"
2021-02-11,"['IEA Monthly Report', 'OPEC Monthly Report', 'Continuing Jobless Claims', '30-Year Bond Auction']"
2021-02-12,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-02-17,"['PPI', 'Retail Sales', 'FOMC Meeting Minutes']"
2021-02-18,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2021-02-19,['U.S. Baker Hughes Oil Rig Count']
2021-02-23,['Fed Chair Powell Testifies']
2021-02-24,"['Fed Chair Powell Testifies', 'Crude Oil Inventories']"
2021-02-25,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders']"
2021-02-26,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-03-01,['ISM Manufacturing PMI']
2021-03-03,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2021-03-04,['Continuing Jobless Claims']
2021-03-05,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2021-03-09,"['EIA Short-Term Energy Outlook', 'WASDE Report']"
2021-03-10,"['EIA Short-Term Energy Outlook', 'WASDE Report']"
2021-03-11,"['OPEC Monthly Report', 'Continuing Jobless Claims', 'JOLTs Job Openings', '30-Year Bond Auction']"
2021-03-12,"['PPI', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-03-16,['Retail Sales']
2021-03-17,"['IEA Monthly Report', 'Crude Oil Inventories', 'FOMC Statement']"
2021-03-18,['Continuing Jobless Claims']
2021-03-19,['U.S. Baker Hughes Oil Rig Count']
2021-03-23,['Fed Chair Powell Testifies']
2021-03-24,"['Durable Goods Orders', 'Fed Chair Powell Testifies', 'Crude Oil Inventories']"
2021-03-25,"['Continuing Jobless Claims', 'Core PCE Prices']"
2021-03-26,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-03-31,['Crude Oil Inventories']
2021-04-01,"['Continuing Jobless Claims', 'ISM Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2021-04-02,['Nonfarm Payrolls']
2021-04-05,['ISM Non-Manufacturing PMI']
2021-04-06,"['JOLTs Job Openings', 'EIA Short-Term Energy Outlook']"
2021-04-07,"['Crude Oil Inventories', 'FOMC Meeting Minutes']"
2021-04-08,['Continuing Jobless Claims']
2021-04-09,"['PPI', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2021-04-12,['10-Year Note Auction']
2021-04-13,"['OPEC Monthly Report', 'CPI', '30-Year Bond Auction']"
2021-04-14,"['IEA Monthly Report', 'Crude Oil Inventories']"
2021-04-15,"['Continuing Jobless Claims', 'Retail Sales']"
2021-04-16,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-04-21,['Crude Oil Inventories']
2021-04-22,['Continuing Jobless Claims']
2021-04-23,['U.S. Baker Hughes Oil Rig Count']
2021-04-24,['U.S. Baker Hughes Oil Rig Count']
2021-04-26,['Durable Goods Orders']
2021-04-28,"['Crude Oil Inventories', 'FOMC Statement']"
2021-04-29,"['Continuing Jobless Claims', 'Core PCE Prices']"
2021-04-30,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-05-03,['ISM Manufacturing PMI']
2021-05-06,['Continuing Jobless Claims']
2021-05-07,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2021-05-11,"['OPEC Monthly Report', 'JOLTs Job Openings', 'EIA Short-Term Energy Outlook']"
2021-05-12,"['IEA Monthly Report', 'CPI', 'Crude Oil Inventories', 'WASDE Report', '10-Year Note Auction']"
2021-05-13,"['Continuing Jobless Claims', 'PPI', '30-Year Bond Auction']"
2021-05-14,"['Retail Sales', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-05-19,"['Crude Oil Inventories', 'FOMC Meeting Minutes']"
2021-05-20,['Continuing Jobless Claims']
2021-05-21,['U.S. Baker Hughes Oil Rig Count']
2021-05-26,['Crude Oil Inventories']
2021-05-27,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders']"
2021-05-28,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-06-03,"['Continuing Jobless Claims', 'ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2021-06-04,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2021-06-08,"['JOLTs Job Openings', 'EIA Short-Term Energy Outlook']"
2021-06-09,"['Crude Oil Inventories', '10-Year Note Auction']"
2021-06-10,"['OPEC Monthly Report', 'Continuing Jobless Claims', 'CPI', 'WASDE Report', '30-Year Bond Auction']"
2021-06-11,"['IEA Monthly Report', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-06-15,"['PPI', 'Retail Sales']"
2021-06-16,"['Crude Oil Inventories', 'FOMC Statement']"
2021-06-17,['Continuing Jobless Claims']
2021-06-18,['U.S. Baker Hughes Oil Rig Count']
2021-06-22,['Fed Chair Powell Testifies']
2021-06-23,['Crude Oil Inventories']
2021-06-24,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders']"
2021-06-25,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-06-30,['Crude Oil Inventories']
2021-07-01,"['Continuing Jobless Claims', 'ISM Manufacturing PMI']"
2021-07-02,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2021-07-06,['ISM Non-Manufacturing PMI']
2021-07-07,"['JOLTs Job Openings', 'EIA Short-Term Energy Outlook', 'FOMC Meeting Minutes']"
2021-07-08,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2021-07-09,['U.S. Baker Hughes Oil Rig Count']
2021-07-12,"['WASDE Report', '10-Year Note Auction']"
2021-07-13,"['IEA Monthly Report', 'CPI', '30-Year Bond Auction']"
2021-07-14,"['PPI', 'Crude Oil Inventories', 'Fed Chair Powell Testifies']"
2021-07-15,"['OPEC Monthly Report', 'Continuing Jobless Claims', 'Fed Chair Powell Testifies']"
2021-07-16,"['Retail Sales', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-07-21,['Crude Oil Inventories']
2021-07-22,['Continuing Jobless Claims']
2021-07-23,['U.S. Baker Hughes Oil Rig Count']
2021-07-27,['Durable Goods Orders']
2021-07-28,"['Crude Oil Inventories', 'FOMC Statement']"
2021-07-29,"['Continuing Jobless Claims', 'Core PCE Prices']"
2021-07-30,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-08-02,['ISM Manufacturing PMI']
2021-08-04,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2021-08-05,['Continuing Jobless Claims']
2021-08-06,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2021-08-09,['JOLTs Job Openings']
2021-08-10,['EIA Short-Term Energy Outlook']
2021-08-11,"['CPI', 'Crude Oil Inventories', '10-Year Note Auction']"
2021-08-12,"['IEA Monthly Report', 'OPEC Monthly Report', 'Continuing Jobless Claims', 'PPI', 'WASDE Report', '30-Year Bond Auction']"
2021-08-13,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-08-17,['Retail Sales']
2021-08-18,"['Crude Oil Inventories', 'FOMC Meeting Minutes']"
2021-08-19,['Continuing Jobless Claims']
2021-08-20,['U.S. Baker Hughes Oil Rig Count']
2021-08-25,"['Durable Goods Orders', 'Crude Oil Inventories']"
2021-08-26,"['Durable Goods Orders', 'Crude Oil Inventories']"
2021-08-27,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-09-01,"['ISM Manufacturing PMI', 'Crude Oil Inventories']"
2021-09-02,['Continuing Jobless Claims']
2021-09-03,"['Nonfarm Payrolls', 'ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2021-09-08,"['JOLTs Job Openings', '10-Year Note Auction']"
2021-09-09,"['Continuing Jobless Claims', 'Crude Oil Inventories', '30-Year Bond Auction']"
2021-09-10,"['PPI', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2021-09-13,['OPEC Monthly Report']
2021-09-14,"['IEA Monthly Report', 'CPI']"
2021-09-15,['Crude Oil Inventories']
2021-09-16,"['Continuing Jobless Claims', 'Retail Sales']"
2021-09-17,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-09-22,"['Crude Oil Inventories', 'FOMC Statement']"
2021-09-23,['Continuing Jobless Claims']
2021-09-24,['U.S. Baker Hughes Oil Rig Count']
2021-09-27,['Durable Goods Orders']
2021-09-28,['Fed Chair Powell Testifies']
2021-09-29,['Crude Oil Inventories']
2021-09-30,"['Continuing Jobless Claims', 'Core PCE Prices', 'Fed Chair Powell Testifies']"
2021-10-01,"['ISM Manufacturing PMI', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-10-05,['ISM Non-Manufacturing PMI']
2021-10-06,['Crude Oil Inventories']
2021-10-07,['Crude Oil Inventories']
2021-10-08,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2021-10-12,"['JOLTs Job Openings', 'WASDE Report', '10-Year Note Auction']"
2021-10-13,"['OPEC Monthly Report', 'CPI', '30-Year Bond Auction', 'FOMC Meeting Minutes']"
2021-10-14,"['IEA Monthly Report', 'Continuing Jobless Claims', 'PPI', 'Crude Oil Inventories']"
2021-10-15,"['Retail Sales', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-10-20,['Crude Oil Inventories']
2021-10-21,['Continuing Jobless Claims']
2021-10-22,['U.S. Baker Hughes Oil Rig Count']
2021-10-27,"['Durable Goods Orders', 'Crude Oil Inventories']"
2021-10-28,"['Continuing Jobless Claims', 'Core PCE Prices']"
2021-10-29,"['Continuing Jobless Claims', 'Core PCE Prices']"
2021-11-01,['ISM Manufacturing PMI']
2021-11-02,['ISM Manufacturing PMI']
2021-11-03,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories', 'FOMC Statement']"
2021-11-04,['Continuing Jobless Claims']
2021-11-05,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2021-11-09,"['PPI', 'EIA Short-Term Energy Outlook', 'WASDE Report', '10-Year Note Auction']"
2021-11-10,"['Continuing Jobless Claims', 'CPI', 'Crude Oil Inventories', '30-Year Bond Auction']"
2021-11-11,['OPEC Monthly Report']
2021-11-12,"['JOLTs Job Openings', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-11-16,"['IEA Monthly Report', 'Retail Sales']"
2021-11-17,['Crude Oil Inventories']
2021-11-18,['Continuing Jobless Claims']
2021-11-19,['U.S. Baker Hughes Oil Rig Count']
2021-11-24,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders', 'Michigan Consumer Expectations', 'Crude Oil Inventories', 'U.S. Baker Hughes Oil Rig Count', 'FOMC Meeting Minutes']"
2021-11-30,['Fed Chair Powell Testifies']
2021-12-01,"['Fed Chair Powell Testifies', 'ISM Manufacturing PMI', 'Crude Oil Inventories']"
2021-12-02,['Continuing Jobless Claims']
2021-12-03,"['Nonfarm Payrolls', 'ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2021-12-04,"['Nonfarm Payrolls', 'ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2021-12-07,['EIA Short-Term Energy Outlook']
2021-12-08,"['JOLTs Job Openings', 'Crude Oil Inventories', '10-Year Note Auction']"
2021-12-09,"['Continuing Jobless Claims', 'WASDE Report', '30-Year Bond Auction']"
2021-12-10,"['CPI', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-12-13,['OPEC Monthly Report']
2021-12-14,"['IEA Monthly Report', 'PPI']"
2021-12-15,"['Retail Sales', 'Crude Oil Inventories', 'FOMC Statement']"
2021-12-16,['Continuing Jobless Claims']
2021-12-17,['U.S. Baker Hughes Oil Rig Count']
2021-12-22,"['Core PCE Prices', 'Crude Oil Inventories']"
2021-12-23,"['Continuing Jobless Claims', 'Durable Goods Orders', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2021-12-30,['Continuing Jobless Claims']
2021-12-31,['U.S. Baker Hughes Oil Rig Count']
2022-01-04,"['ISM Manufacturing PMI', 'JOLTs Job Openings']"
2022-01-05,"['Crude Oil Inventories', 'FOMC Meeting Minutes']"
2022-01-06,"['Continuing Jobless Claims', 'ISM Non-Manufacturing PMI']"
2022-01-07,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-01-11,"['Fed Chair Powell Testifies', 'EIA Short-Term Energy Outlook']"
2022-01-12,"['CPI', 'Crude Oil Inventories', 'WASDE Report', '10-Year Note Auction']"
2022-01-13,"['Continuing Jobless Claims', 'PPI', '30-Year Bond Auction']"
2022-01-14,"['Retail Sales', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-01-18,['OPEC Monthly Report']
2022-01-19,['IEA Monthly Report']
2022-01-20,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2022-01-21,['U.S. Baker Hughes Oil Rig Count']
2022-01-22,['U.S. Baker Hughes Oil Rig Count']
2022-01-26,"['Crude Oil Inventories', 'FOMC Statement']"
2022-01-27,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders']"
2022-01-28,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-02-01,"['ISM Manufacturing PMI', 'JOLTs Job Openings']"
2022-02-02,['Crude Oil Inventories']
2022-02-03,"['Continuing Jobless Claims', 'ISM Non-Manufacturing PMI']"
2022-02-04,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-02-08,['EIA Short-Term Energy Outlook']
2022-02-09,"['Crude Oil Inventories', 'WASDE Report', '10-Year Note Auction']"
2022-02-10,"['OPEC Monthly Report', 'Continuing Jobless Claims', 'CPI', '30-Year Bond Auction']"
2022-02-11,"['IEA Monthly Report', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-02-15,['PPI']
2022-02-16,"['Retail Sales', 'Crude Oil Inventories', 'FOMC Meeting Minutes']"
2022-02-17,['Continuing Jobless Claims']
2022-02-18,['U.S. Baker Hughes Oil Rig Count']
2022-02-24,"['Continuing Jobless Claims', 'Core PCE Prices', 'Crude Oil Inventories']"
2022-02-25,"['Durable Goods Orders', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-03-01,['ISM Manufacturing PMI']
2022-03-02,"['Fed Chair Powell Testifies', 'Crude Oil Inventories']"
2022-03-03,"['Continuing Jobless Claims', 'Fed Chair Powell Testifies', 'ISM Non-Manufacturing PMI']"
2022-03-04,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-03-08,['EIA Short-Term Energy Outlook']
2022-03-09,"['JOLTs Job Openings', 'Crude Oil Inventories', 'WASDE Report', '10-Year Note Auction']"
2022-03-10,"['Continuing Jobless Claims', 'CPI', '30-Year Bond Auction']"
2022-03-11,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-03-15,"['OPEC Monthly Report', 'PPI']"
2022-03-16,"['IEA Monthly Report', 'Retail Sales', 'Crude Oil Inventories', 'FOMC Statement']"
2022-03-17,['Continuing Jobless Claims']
2022-03-18,['U.S. Baker Hughes Oil Rig Count']
2022-03-23,['Crude Oil Inventories']
2022-03-24,"['Continuing Jobless Claims', 'Durable Goods Orders']"
2022-03-25,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-03-29,['JOLTs Job Openings']
2022-03-30,"['Core PCE Prices', 'Crude Oil Inventories']"
2022-03-31,['Continuing Jobless Claims']
2022-04-01,"['Nonfarm Payrolls', 'ISM Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2022-04-05,['ISM Non-Manufacturing PMI']
2022-04-06,"['Crude Oil Inventories', 'FOMC Meeting Minutes']"
2022-04-07,['Continuing Jobless Claims']
2022-04-08,"['WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2022-04-12,"['OPEC Monthly Report', 'CPI', 'EIA Short-Term Energy Outlook', '10-Year Note Auction']"
2022-04-13,"['IEA Monthly Report', 'PPI', 'Crude Oil Inventories', '30-Year Bond Auction']"
2022-04-14,"['Continuing Jobless Claims', 'Retail Sales', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-04-20,['Crude Oil Inventories']
2022-04-21,['Continuing Jobless Claims']
2022-04-22,['U.S. Baker Hughes Oil Rig Count']
2022-04-26,['Durable Goods Orders']
2022-04-27,['Crude Oil Inventories']
2022-04-28,"['Continuing Jobless Claims', 'Core PCE Prices']"
2022-04-29,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-05-02,['ISM Manufacturing PMI']
2022-05-03,['JOLTs Job Openings']
2022-05-04,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories', 'FOMC Statement']"
2022-05-05,['Continuing Jobless Claims']
2022-05-06,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-05-10,['EIA Short-Term Energy Outlook']
2022-05-11,"['CPI', 'Crude Oil Inventories', '10-Year Note Auction']"
2022-05-12,"['IEA Monthly Report', 'OPEC Monthly Report', 'Continuing Jobless Claims', 'PPI', 'WASDE Report', '30-Year Bond Auction']"
2022-05-13,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-05-17,['Retail Sales']
2022-05-18,['Crude Oil Inventories']
2022-05-19,['Continuing Jobless Claims']
2022-05-20,['U.S. Baker Hughes Oil Rig Count']
2022-05-25,"['Durable Goods Orders', 'Crude Oil Inventories', 'FOMC Meeting Minutes']"
2022-05-26,"['Continuing Jobless Claims', 'Core PCE Prices']"
2022-05-27,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-06-01,"['ISM Manufacturing PMI', 'JOLTs Job Openings']"
2022-06-02,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2022-06-03,"['Nonfarm Payrolls', 'ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2022-06-07,['EIA Short-Term Energy Outlook']
2022-06-08,"['Crude Oil Inventories', '10-Year Note Auction']"
2022-06-09,"['Continuing Jobless Claims', '30-Year Bond Auction']"
2022-06-10,"['CPI', 'Michigan Consumer Expectations', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2022-06-14,"['OPEC Monthly Report', 'PPI']"
2022-06-15,"['IEA Monthly Report', 'Retail Sales', 'Crude Oil Inventories', 'FOMC Statement']"
2022-06-16,['Continuing Jobless Claims']
2022-06-17,['U.S. Baker Hughes Oil Rig Count']
2022-06-22,['Fed Chair Powell Testifies']
2022-06-23,"['Continuing Jobless Claims', 'Fed Chair Powell Testifies']"
2022-06-24,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-06-27,['Durable Goods Orders']
2022-06-29,"['Core PCE Prices', 'Crude Oil Inventories']"
2022-06-30,['Continuing Jobless Claims']
2022-07-01,['Continuing Jobless Claims']
2022-07-06,"['ISM Non-Manufacturing PMI', 'JOLTs Job Openings', 'FOMC Meeting Minutes']"
2022-07-07,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2022-07-08,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-07-12,"['OPEC Monthly Report', 'EIA Short-Term Energy Outlook', 'WASDE Report', '10-Year Note Auction']"
2022-07-13,"['IEA Monthly Report', 'CPI', 'Crude Oil Inventories', '30-Year Bond Auction']"
2022-07-14,"['Continuing Jobless Claims', 'PPI']"
2022-07-15,"['Retail Sales', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-07-20,['Crude Oil Inventories']
2022-07-21,['Continuing Jobless Claims']
2022-07-22,['U.S. Baker Hughes Oil Rig Count']
2022-07-27,"['Durable Goods Orders', 'Crude Oil Inventories', 'FOMC Statement']"
2022-07-28,"['Continuing Jobless Claims', 'Core PCE Prices']"
2022-07-29,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-08-01,['ISM Manufacturing PMI']
2022-08-02,['JOLTs Job Openings']
2022-08-03,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2022-08-04,['Continuing Jobless Claims']
2022-08-05,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-08-09,['EIA Short-Term Energy Outlook']
2022-08-10,['EIA Short-Term Energy Outlook']
2022-08-11,"['IEA Monthly Report', 'OPEC Monthly Report', 'Continuing Jobless Claims', 'PPI', '30-Year Bond Auction']"
2022-08-12,"['Michigan Consumer Expectations', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2022-08-17,"['Retail Sales', 'Crude Oil Inventories', 'FOMC Meeting Minutes']"
2022-08-18,['Continuing Jobless Claims']
2022-08-19,['U.S. Baker Hughes Oil Rig Count']
2022-08-24,"['Durable Goods Orders', 'Crude Oil Inventories']"
2022-08-25,"['Continuing Jobless Claims', 'Core PCE Prices']"
2022-08-26,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-08-30,['JOLTs Job Openings']
2022-08-31,['Crude Oil Inventories']
2022-09-01,"['Continuing Jobless Claims', 'ISM Manufacturing PMI']"
2022-09-02,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-09-06,['ISM Non-Manufacturing PMI']
2022-09-07,['EIA Short-Term Energy Outlook']
2022-09-08,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2022-09-09,['U.S. Baker Hughes Oil Rig Count']
2022-09-12,"['WASDE Report', '10-Year Note Auction']"
2022-09-13,"['OPEC Monthly Report', 'CPI', '30-Year Bond Auction']"
2022-09-14,"['IEA Monthly Report', 'PPI', 'Crude Oil Inventories']"
2022-09-15,"['Continuing Jobless Claims', 'Retail Sales']"
2022-09-16,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-09-21,"['Crude Oil Inventories', 'FOMC Statement']"
2022-09-22,['Continuing Jobless Claims']
2022-09-23,['U.S. Baker Hughes Oil Rig Count']
2022-09-27,['Durable Goods Orders']
2022-09-28,['Crude Oil Inventories']
2022-09-29,"['Continuing Jobless Claims', 'Core PCE Prices']"
2022-09-30,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-10-03,['ISM Manufacturing PMI']
2022-10-04,['JOLTs Job Openings']
2022-10-05,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2022-10-06,['Continuing Jobless Claims']
2022-10-07,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-10-12,"['OPEC Monthly Report', 'PPI', 'EIA Short-Term Energy Outlook', 'WASDE Report', '10-Year Note Auction', 'FOMC Meeting Minutes']"
2022-10-13,"['IEA Monthly Report', 'Continuing Jobless Claims', 'CPI', 'Crude Oil Inventories', '30-Year Bond Auction']"
2022-10-14,"['Retail Sales', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-10-19,['Crude Oil Inventories']
2022-10-20,['Continuing Jobless Claims']
2022-10-21,['U.S. Baker Hughes Oil Rig Count']
2022-10-26,['Crude Oil Inventories']
2022-10-27,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders']"
2022-10-28,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-11-01,"['ISM Manufacturing PMI', 'JOLTs Job Openings']"
2022-11-02,"['Crude Oil Inventories', 'FOMC Statement']"
2022-11-03,"['Continuing Jobless Claims', 'ISM Non-Manufacturing PMI']"
2022-11-04,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-11-08,['EIA Short-Term Energy Outlook']
2022-11-09,"['Crude Oil Inventories', 'WASDE Report', '10-Year Note Auction']"
2022-11-10,"['Continuing Jobless Claims', 'CPI', '30-Year Bond Auction']"
2022-11-11,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-11-14,['OPEC Monthly Report']
2022-11-15,"['IEA Monthly Report', 'PPI']"
2022-11-16,"['Retail Sales', 'Crude Oil Inventories']"
2022-11-17,['Continuing Jobless Claims']
2022-11-18,['U.S. Baker Hughes Oil Rig Count']
2022-11-23,"['Continuing Jobless Claims', 'Durable Goods Orders', 'Michigan Consumer Expectations', 'Crude Oil Inventories', 'U.S. Baker Hughes Oil Rig Count', 'FOMC Meeting Minutes']"
2022-11-30,"['Core PCE Prices', 'JOLTs Job Openings', 'Crude Oil Inventories']"
2022-12-01,"['Continuing Jobless Claims', 'ISM Manufacturing PMI']"
2022-12-02,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2022-12-05,['ISM Non-Manufacturing PMI']
2022-12-06,['EIA Short-Term Energy Outlook']
2022-12-07,['Crude Oil Inventories']
2022-12-08,['Continuing Jobless Claims']
2022-12-09,"['PPI', 'Michigan Consumer Expectations', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2022-12-12,['10-Year Note Auction']
2022-12-13,"['OPEC Monthly Report', 'CPI', '30-Year Bond Auction']"
2022-12-14,"['IEA Monthly Report', 'Crude Oil Inventories', 'FOMC Statement']"
2022-12-15,"['Continuing Jobless Claims', 'Retail Sales']"
2022-12-16,['U.S. Baker Hughes Oil Rig Count']
2022-12-21,['Crude Oil Inventories']
2022-12-22,"['Continuing Jobless Claims', 'Core PCE Prices']"
2022-12-23,"['Durable Goods Orders', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2022-12-29,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2022-12-30,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2023-01-02,"[""United States - New Year's Day""]"
2023-01-04,"['ISM Manufacturing PMI', 'JOLTs Job Openings', 'FOMC Meeting Minutes']"
2023-01-05,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2023-01-06,"['Nonfarm Payrolls', 'ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
